Title, Classifier, Data Set, Parameters, , , , 
CV Confusion Matrices, Random Forest, AprilDataSet, ntrees=100, , , , 

Class,Multi,,0,1,2,3,4
Accuracy,0.992727,0,110.000000,1.000000,1.000000,0.000000,2.000000
Precision,0.992982,1,0.000000,109.000000,0.000000,0.000000,0.000000
Sensitivity,0.992982,2,0.000000,0.000000,109.000000,0.000000,0.000000
Specificity,0.998188,3,0.000000,0.000000,0.000000,110.000000,0.000000
,,4,0.000000,0.000000,0.000000,0.000000,108.000000

Class,      0,  ,  0,  1, , , 
Accuracy,   0.992727, 0, 110.000000, 0.000000, , , 
Precision,  0.964912, 1, 4.000000, 436.000000, , , 
Sensitivity,0.964912,  ,   ,   , , , 
Specificity,1.000000,  ,   ,   , , , 

Class,      1,  ,  0,  1, , , 
Accuracy,   0.998182, 0, 109.000000, 1.000000, , , 
Precision,  1.000000, 1, 0.000000, 440.000000, , , 
Sensitivity,1.000000,  ,   ,   , , , 
Specificity,0.997732,  ,   ,   , , , 

Class,      2,  ,  0,  1, , , 
Accuracy,   0.998182, 0, 109.000000, 1.000000, , , 
Precision,  1.000000, 1, 0.000000, 440.000000, , , 
Sensitivity,1.000000,  ,   ,   , , , 
Specificity,0.997732,  ,   ,   , , , 

Class,      3,  ,  0,  1, , , 
Accuracy,   1.000000, 0, 110.000000, 0.000000, , , 
Precision,  1.000000, 1, 0.000000, 440.000000, , , 
Sensitivity,1.000000,  ,   ,   , , , 
Specificity,1.000000,  ,   ,   , , , 

Class,      4,  ,  0,  1, , , 
Accuracy,   0.996364, 0, 108.000000, 2.000000, , , 
Precision,  1.000000, 1, 0.000000, 440.000000, , , 
Sensitivity,1.000000,  ,   ,   , , , 
Specificity,0.995475,  ,   ,   , , , 

